"Region, development group, country or area of origin",1990,1995,2000,2005,2010,2015,2020
   Dominican Republic,458021,667015,889451,1014070,1184417,1454602,1608567
   Grenada,43237,54075,63791,64646,63930,69055,62204
   Guadeloupe*,5765,6748,7750,8911,10779,11993,12542
   Haiti,524711,661354,802218,967894,1123190,1467042,1769671
   Jamaica,588450,718362,857865,905170,989790,1031596,1118931
   Martinique*,11036,12501,14019,14340,14637,12675,12963
   Montserrat*,7178,11586,16132,15810,17378,20136,24582
   Puerto Rico*,1200245,1405619,1600058,1640015,1731818,1715817,1850529
   Saint Barthélemy*,0,0,0,0,0,0,0
   Saint Kitts and Nevis,18618,24662,30867,33317,35795,40211,50285
   Saint Lucia,21999,30672,39556,46897,50318,57939,71227
   Saint Martin (French part)*,0,0,0,0,0,0,0
   Saint Vincent and the Grenadines,37010,45669,53543,55611,55435,62292,55525
   Sint Maarten (Dutch part)*,707,914,1186,1246,3303,1929,2191
   Trinidad and Tobago,197440,251142,307795,322906,350517,368633,330519
   Turks and Caicos Islands*,2308,1533,740,1190,2197,2454,2689
   United States Virgin Islands*,2309,3030,3814,3638,3711,3953,3908
   Belize,36101,41950,48211,51883,57371,63099,52756
   Costa Rica,69283,84980,105227,117618,132317,138237,150241
   El Salvador,1241849,933103,949042,1118793,1337085,1512895,1599058
   Guatemala,348189,461891,582796,736715,924898,1118115,1368431
   Honduras,156379,246575,342103,448882,587503,729855,985077
   Mexico,4395355,6949276,9562878,10817810,12415222,11923234,11185737
   Nicaragua,441488,437711,501517,555532,610211,655577,718154
   Panama,134392,132978,136929,131417,139844,150210,139520
   Argentina,430155,481968,555542,805291,938639,943843,1076148
   Bolivia (Plurinational State of),224693,283540,344702,543766,779961,824008,927244
   Brazil,491359,730491,940458,1194575,1495404,1504231,1897128
   Chile,493026,499207,511997,541745,571842,618015,643800
   Colombia,1009148,1215967,1433940,1883904,2554020,2698688,3024273
   Ecuador,214008,326230,446380,986599,1152897,1130774,1127891
   Falkland Islands (Malvinas)*,255,760,1262,1095,1174,1370,1518
   French Guiana*,2840,3221,3640,3800,3940,4517,4595
   Guyana,233318,295292,362157,392555,439233,481258,438413
   Paraguay,297742,335845,374675,545698,765811,845591,896484
   Peru,313209,505474,694144,969002,1299095,1410199,1519635
   Suriname,177857,191535,211219,248782,258715,254612,273209
   Uruguay,237486,233993,235641,298986,338438,353225,367060
   Venezuela (Bolivarian Republic of),185492,241864,317753,437087,560528,709140,5415337
   Bermuda*,71681,42587,14079,14907,15313,16225,21107
   Canada,994254,1064305,1142641,1185156,1268057,1263552,1292329
   Greenland*,9504,11361,13388,14618,15391,16711,17866
   Saint Pierre and Miquelon*,483,477,484,426,390,400,433
   United States of America*,1726213,1827431,1979327,2296999,2670652,2717761,2996223
   Australia*,301013,341312,381836,428769,486949,518158,598765
   New Zealand*,388017,416922,489824,555511,662316,738044,806159
   Fiji,90161,106488,131908,157045,183607,208568,233856
   New Caledonia*,4148,4600,4941,5219,5377,5584,5839
   Papua New Guinea,3107,4059,4552,4493,4231,4980,4810
   Solomon Islands,2212,2542,2728,2999,3371,3886,4270
   Vanuatu,4869,5611,6242,7264,7692,6751,7246
   Guam*,1375,1614,2797,2535,2209,2132,2213
   Kiribati,4053,4246,3991,4021,3565,4127,5103
   Marshall Islands,1426,4154,6976,6654,6492,7625,10886
   Micronesia (Fed. States of),7713,12138,16914,18346,19404,20633,24945
   Nauru,1419,1511,1593,1869,2130,2267,2454
   Northern Mariana Islands*,2517,2647,2765,2725,2611,2607,2741
   Palau,2957,2844,3998,3782,2619,2559,2656
   American Samoa*,2041,2638,3186,2588,2157,1961,1832
   Cook Islands*,17485,17009,19478,19580,20556,21555,21106
   French Polynesia*,3132,3738,4300,2717,1550,1978,2157
   Niue*,5858,5571,5749,5291,5347,5348,5186
   Samoa,74861,81952,94541,99230,104820,116855,135732
   Tokelau*,1684,1810,2061,2090,2168,2171,2112
   Tonga,32665,38208,46444,48337,51521,59203,74550
   Tuvalu,2350,2738,2611,2917,3011,3203,3670
   Wallis and Futuna Islands*,6484,6943,7401,7436,7465,11227,11917
