id,Country Name,1990,1995,2000,2005,2010,2015
MLI,Mali,13410.0,-59303.0,8048.0,10713.0,9895.0,-138296.0
MMR,Myanmar,-28.0,-152298.0,-137128.0,-164864.0,-415670.0,-451805.0
MNE,Montenegro,0.0,0.0,0.0,0.0,13118.0,1120.0
MNG,Mongolia,-1.0,-4.0,-23.0,-654.0,-1712.0,-2190.0
MOZ,Mozambique,-1247572.0,-125434.0,177.0,1850.0,3946.0,5565.0
MRT,Mauritania,-5999.0,-49918.0,-29402.0,-31019.0,-11016.0,42734.0
MWI,Malawi,926672.0,981.0,3867.0,4139.0,5569.0,8593.0
MYS,Malaysia,14862.0,5199.0,50405.0,33299.0,80964.0,93727.0
NAM,Namibia,-532.0,1669.0,24955.0,4081.0,6237.0,460.0
NCL,New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0
NER,Niger,792.0,17331.0,-435.0,-354.0,-489.0,123331.0
NGA,Nigeria,3555.0,6179.0,1528.0,-13109.0,-6895.0,-166594.0
NIC,Nicaragua,-36618.0,-23361.0,-4739.0,-1236.0,-1367.0,-1146.0
NLD,Netherlands,17337.0,79875.0,146165.0,118030.0,74908.0,88467.0
NOR,Norway,19581.0,47606.0,47689.0,43019.0,40253.0,50377.0
NPL,Nepal,17800.0,124727.0,129002.0,124371.0,83919.0,23604.0
NZL,New Zealand,4666.0,3758.0,4923.0,5303.0,2292.0,1318.0
OMN,Oman,0.0,-10.0,-5.0,-5.0,15.0,208.0
PAK,Pakistan,3255489.0,1197216.0,1991333.0,1054781.0,1860639.0,1263263.0
PAN,Panama,721.0,707.0,1246.0,1688.0,16973.0,17253.0
PER,Peru,468.0,-5294.0,-6257.0,-4017.0,-4688.0,-2111.0
PHL,Philippines,19850.0,267.0,-45306.0,-369.0,-727.0,-324.0
PNG,Papua New Guinea,7099.0,7601.0,5855.0,9976.0,9609.0,9171.0
POL,Poland,-25632.0,-19132.0,155.0,-15037.0,13791.0,12768.0
PRI,Puerto Rico,0.0,-12.0,0.0,0.0,0.0,0.0
PRK,"Korea, Dem. People’s Rep.",0.0,-7.0,-13.0,-288.0,-917.0,-1101.0
PRT,Portugal,867.0,223.0,410.0,289.0,354.0,825.0
PRY,Paraguay,47.0,9.0,2.0,6.0,21.0,81.0
PSE,West Bank and Gaza,902116.0,1128204.0,1318251.0,1336178.0,1922532.0,2005983.0
QAT,Qatar,0.0,-30.0,30.0,35.0,-61.0,100.0
ROU,Romania,-51282.0,-16784.0,-5663.0,-9446.0,-2913.0,863.0
RUS,Russian Federation,-117736.0,-207034.0,-14045.0,-101514.0,-107026.0,247487.0
RWA,Rwanda,-337721.0,-1811574.0,-90658.0,-55058.0,-60126.0,-141629.0
SAU,Saudi Arabia,0.0,12909.0,5232.0,240550.0,-85.0,-576.0
SDN,Sudan,507052.0,228791.0,-79435.0,-546376.0,-208980.0,-317448.0
SEN,Senegal,-1893.0,49177.0,9678.0,12041.0,4405.0,-6888.0
SLB,Solomon Islands,0.0,1966.0,-34.0,-27.0,-75.0,-68.0
SLE,Sierra Leone,125821.0,-374820.0,-396261.0,19488.0,-2912.0,-4144.0
SLV,El Salvador,-9719.0,-23381.0,-7697.0,-4232.0,-4938.0,-14730.0
SOM,Somalia,-10174.0,-638072.0,-475097.0,-395060.0,-768217.0,-1115075.0
